distance,bearing,id
5,15,5
6,15,6
7,15,7
8,15,8
9,15,9
10,15,10
11,15,11
12,15,12
13,15,13
14,15,14
15,15,15
16,15,16
17,15,17
18,15,18
19,15,19
20,15,20
21,15,21
22,15,22
23,15,23
24,15,24
25,15,25
26,15,26
27,15,27
28,15,28
29,15,29
30,15,30
31,15,31
32,45,32
33,15,33
34,15,34
35,15,35
5,75,114
6,75,116
7,75,118
8,75,120
9,75,122
10,75,124
11,75,126
12,75,128
13,75,130
14,75,131
15,75,134
16,75,136
17,75,138
18,75,140
19,75,142
20,75,144
21,75,145
22,75,148
23,75,150
24,75,152
25,75,154
26,75,156
27,75,158
28,75,160
29,75,162
30,75,164
31,75,166
32,75,168
33,75,170
34,75,172
35,75,174
5,255,181
6,255,182
7,255,183
8,255,184
9,255,185
10,255,186
11,255,187
12,255,188
13,255,189
14,255,190
15,255,191
16,255,192
17,255,193
18,255,194
19,255,195
20,255,196
21,255,197
22,255,198
23,255,199
24,255,200
25,255,201
26,255,202
27,255,203
28,255,204
29,255,205
30,255,206
31,255,207
32,255,208
33,255,209
34,255,210
35,255,211
5,285,216
6,285,217
7,285,218
8,285,219
9,285,220
10,285,221
11,285,222
12,285,223
13,285,224
14,285,225
15,285,226
16,285,227
17,285,228
18,285,229
19,285,230
20,285,231
21,285,232
22,285,233
23,285,234
24,285,235
25,285,236
26,285,237
27,285,238
28,285,239
29,285,240
30,285,241
31,285,242
32,285,243
33,285,244
34,285,245
35,285,246
5,315,250
6,315,251
7,315,252
8,315,253
9,315,254
10,315,255
11,315,256
12,315,257
13,315,258
14,315,259
15,315,260
16,315,261
17,315,262
18,315,263
19,315,264
20,315,265
21,315,266
22,315,267
23,315,268
24,315,269
25,315,270
26,315,271
27,315,272
28,315,273
29,315,274
30,315,275
31,315,276
32,315,277
33,315,278
34,315,279
35,315,280
5,345,285
6,345,286
7,345,287
8,345,288
9,345,289
10,345,290
11,345,291
12,345,292
13,345,293
14,345,294
15,345,295
16,345,296
17,345,297
18,345,298
19,345,299
20,345,300
21,345,301
22,345,302
23,345,303
24,345,304
25,345,305
26,345,306
27,345,307
28,345,308
29,345,309
30,345,310
31,345,311
32,345,312
33,345,313
34,345,314
35,345,315
5,45,321
6,45,322
7,45,323
8,45,324
9,45,325
10,45,326
11,45,327
12,45,328
13,45,329
14,45,330
15,45,331
16,45,332
17,45,333
18,45,334
19,45,335
20,45,336
21,45,337
22,45,338
23,45,339
24,45,340
25,45,341
26,45,342
27,45,343
28,45,344
29,45,345
30,45,346
31,45,347
32,15,348
33,45,349
34,45,350
35,45,351
