id,distance_0,direction,mean_lst,distance
5,5,15,15.91556851,1
6,6,15,15.99168769,2
7,7,15,15.78204668,3
8,8,15,15.77106687,4
9,9,15,15.76247736,5
10,10,15,15.72520194,6
11,11,15,15.73239368,7
12,12,15,16.06702865,8
13,13,15,16.07781507,9
14,14,15,15.93803567,10
15,15,15,16.0933537,11
16,16,15,16.08162332,12
17,17,15,16.49312865,13
18,18,15,16.27693161,14
19,19,15,15.88989669,15
20,20,15,15.69716114,16
21,21,15,15.50407647,17
22,22,15,15.56821199,18
23,23,15,15.62285426,19
24,24,15,15.50614196,20
25,25,15,15.05568205,21
26,26,15,15.14109683,22
27,27,15,15.05995256,23
28,28,15,14.93131265,24
29,29,15,14.41419937,25
30,30,15,14.44304414,26
31,31,15,14.50370357,27
32,32,45,13.83181182,28
33,33,15,14.38668575,29
34,34,15,14.17718614,30
35,35,15,13.47711512,31
114,5,75,14.78775184,1
116,6,75,14.10841186,2
118,7,75,14.57711058,3
120,8,75,14.93950082,4
122,9,75,14.73829596,5
124,10,75,14.73342488,6
126,11,75,14.70636305,7
128,12,75,14.66438944,8
130,13,75,14.7752013,9
131,14,75,15.15622002,10
134,15,75,15.01762061,11
136,16,75,15.02427894,12
138,17,75,14.70426946,13
140,18,75,14.68981868,14
142,19,75,14.76943259,15
144,20,75,14.75010956,16
145,21,75,14.45293104,17
148,22,75,13.5513614,18
150,23,75,13.2362464,19
152,24,75,13.15058858,20
154,25,75,13.41508368,21
156,26,75,13.44755851,22
158,27,75,13.05554215,23
160,28,75,13.19859612,24
162,29,75,14.34763056,25
164,30,75,15.03478892,26
181,5,255,15.92888969,1
182,6,255,15.79696657,2
183,7,255,15.84735834,3
184,8,255,15.91557565,4
185,9,255,16.55998089,5
186,10,255,16.53088069,6
187,11,255,15.94185949,7
188,12,255,16.56178892,8
189,13,255,16.60913198,9
190,14,255,16.55064356,10
191,15,255,16.81315703,11
192,16,255,16.52223406,12
193,17,255,16.30664673,13
194,18,255,15.94723243,14
195,19,255,16.25069584,15
196,20,255,16.62823056,16
197,21,255,16.99635881,17
198,22,255,17.19959898,18
199,23,255,16.72742533,19
200,24,255,16.32965852,20
201,25,255,16.32079657,21
202,26,255,16.34652199,22
203,27,255,16.42680273,23
204,28,255,15.93027001,24
205,29,255,15.34485204,25
206,30,255,15.53267081,26
207,31,255,15.53669401,27
208,32,255,15.74596461,28
209,33,255,15.8474598,29
210,34,255,15.52441453,30
211,35,255,15.22648381,31
216,5,285,16.31143654,1
217,6,285,16.32869766,2
218,7,285,16.44315508,3
219,8,285,16.44063768,4
220,9,285,16.97406434,5
221,10,285,16.58515606,6
222,11,285,16.43909997,7
223,12,285,16.54794815,8
224,13,285,16.52422165,9
225,14,285,16.47629358,10
226,15,285,16.3001924,11
227,16,285,16.07901292,12
228,17,285,16.39908026,13
229,18,285,16.81545807,14
230,19,285,15.73758174,15
231,20,285,15.89874744,16
232,21,285,15.8586624,17
233,22,285,16.10012425,18
234,23,285,15.73058586,19
235,24,285,15.78686135,20
236,25,285,15.55529645,21
237,26,285,15.56446716,22
238,27,285,15.8760774,23
239,28,285,15.93778749,24
240,29,285,15.70123881,25
241,30,285,15.66804585,26
242,31,285,15.63509703,27
243,32,285,15.59321839,28
244,33,285,15.68425266,29
245,34,285,15.48748657,30
246,35,285,15.29368235,31
250,5,315,16.27458365,1
251,6,315,16.22750782,2
252,7,315,15.89261768,3
253,8,315,16.21842376,4
254,9,315,15.96356218,5
255,10,315,16.03215776,6
256,11,315,16.35877338,7
257,12,315,16.29550331,8
258,13,315,15.99922543,9
259,14,315,15.8654036,10
260,15,315,15.84979787,11
261,16,315,15.92170917,12
262,17,315,15.94839776,13
263,18,315,15.88711601,14
264,19,315,16.10382461,15
265,20,315,16.02813348,16
266,21,315,16.14729319,17
267,22,315,15.88162719,18
268,23,315,15.63957049,19
269,24,315,15.62793351,20
270,25,315,15.3306622,21
271,26,315,14.56829495,22
272,27,315,14.87484005,23
273,28,315,14.95551538,24
274,29,315,14.71617194,25
275,30,315,14.82572109,26
276,31,315,14.86035743,27
277,32,315,14.76587395,28
278,33,315,14.77279901,29
279,34,315,14.89253549,30
280,35,315,14.90389494,31
285,5,345,15.92713973,1
286,6,345,16.17891696,2
287,7,345,16.01082612,3
288,8,345,15.93906043,4
289,9,345,15.94720422,5
290,10,345,16.22636479,6
291,11,345,16.27683961,7
292,12,345,16.23779467,8
293,13,345,16.20496683,9
294,14,345,15.91960059,10
295,15,345,15.99887196,11
296,16,345,16.11652075,12
297,17,345,15.90515861,13
298,18,345,15.75130376,14
299,19,345,15.77594421,15
300,20,345,15.48160822,16
301,21,345,15.26588909,17
302,22,345,15.51831277,18
303,23,345,15.5242623,19
304,24,345,15.17028303,20
305,25,345,15.15872236,21
306,26,345,15.02899455,22
307,27,345,14.79159236,23
308,28,345,14.77292131,24
309,29,345,14.36535927,25
310,30,345,14.43848027,26
311,31,345,14.66788661,27
312,32,345,14.61332817,28
313,33,345,14.53187383,29
314,34,345,14.61912508,30
315,35,345,14.60421187,31
321,5,45,15.66293494,1
322,6,45,15.01107023,2
323,7,45,15.31231974,3
324,8,45,15.50364332,4
325,9,45,15.44560119,5
326,10,45,15.5605525,6
327,11,45,15.59004428,7
328,12,45,15.49358693,8
329,13,45,15.29482499,9
330,14,45,14.86016914,10
331,15,45,14.81587105,11
332,16,45,15.3011299,12
333,17,45,15.42858164,13
334,18,45,15.2705256,14
335,19,45,14.8475,15
336,20,45,14.38437111,16
337,21,45,14.45716371,17
338,22,45,14.51456415,18
339,23,45,14.51774602,19
340,24,45,14.14285238,20
341,25,45,13.91595749,21
342,26,45,14.24793871,22
343,27,45,14.13151618,23
344,28,45,14.3992268,24
345,29,45,14.20358892,25
346,30,45,14.47021951,26
347,31,45,14.33318392,27
348,32,15,14.46943469,28
349,33,45,13.97021743,29
350,34,45,14.14309602,30
351,35,45,13.65489715,31
1000,5,15,15.4968,0
1001,5,75,15.4968,0
1002,5,255,15.4968,0
1003,5,285,15.4968,0
1004,5,315,15.4968,0
1005,5,345,15.4968,0
1006,5,45,15.4968,0
