buffer_id,lst_mean
1,15.78817
2,15.18015
3,14.79623
4,16.24522
5,16.36909
6,15.99051
7,14.81404
8,14.1194
9,13.83684
10,15.76616
11,15.72123
12,15.0513
13,14.62234
14,13.91481
15,13.50005
16,15.7129
17,15.20553
18,14.58097
19,14.51459
20,13.8984
21,13.5442
22,15.40416
23,14.83078
24,14.54283
25,14.52791
26,13.83777
27,13.15784
28,15.5167
29,15.09503
30,14.59389
31,14.30203
32,13.93739
33,12.78526
34,15.49034
35,15.06422
36,14.54742
37,14.27771
38,14.2214
39,12.39685
40,15.52744
41,15.06598
42,14.52649
43,14.32413
44,14.08187
46,15.67535
47,14.77386
48,14.62155
49,14.55509
50,13.92352
51,15.77667
52,14.74
53,14.57567
54,14.53765
55,13.98151
56,15.63591
57,14.97038
58,14.75878
59,14.32998
60,14.21643
61,15.55222
62,15.02495
63,14.66154
64,14.29325
65,14.43825
66,15.64411
67,15.07219
68,14.35851
69,14.16483
70,14.25178
71,15.57308
72,15.0003
73,14.54456
74,14.76575
75,14.0807
76,15.61825
77,14.99274
78,14.4833
79,14.35806
80,15.7645
81,14.91371
82,14.39937
83,14.38568
84,15.86504
85,14.91858
86,14.50684
87,14.48502
88,15.81809
89,15.0064
90,14.46449
91,13.7608
92,15.75899
93,15.02001
94,14.49904
95,13.58729
96,15.57787
97,14.63022
98,14.48401
99,15.51267
100,14.59532
101,14.37517
102,15.72189
103,14.80872
104,14.37263
105,15.62184
106,14.65565
107,14.30379
108,15.63562
109,14.59239
110,14.21719
111,15.68079
112,14.79752
113,14.43265
114,15.72181
115,14.99231
116,14.33847
117,15.82645
118,15.01351
119,14.13059
120,15.87618
121,14.85814
122,14.0714
123,16.17338
124,14.61082
125,14.79703
126,16.2684
127,14.57922
128,14.74241
129,16.2951
130,14.50179
131,14.60506
132,16.43059
133,14.57668
134,14.73837
135,16.58185
136,14.64825
137,14.695
138,16.03268
139,14.73611
140,14.44592
141,15.49214
142,14.80967
143,14.19066
145,14.91589
146,14.15697
148,15.10756
149,13.84498
150,15.14749
151,13.98059
152,15.08665
153,13.71634
154,14.80311
155,13.81665
156,14.69289
157,14.19633
158,14.59216
159,14.35574
160,14.75093
161,15.42678
162,14.77913
164,14.66822
165,14.53875
166,14.71588
167,14.79348
168,14.98866
169,14.71806
170,14.5985
171,14.32913
172,13.90689
173,13.52682
174,13.46104
175,13.50049
176,13.9892
177,14.28977
178,14.15174
179,14.09695
180,13.14571
181,12.35675
182,12.18791
183,11.95701
