season,gridcode,lc,lc_0,min,max,mean,std,median
Summer,0,1. Water,Water,23.01,40.135,24.931,1.478,24.763
Summer,1,3. Residential,Residential,23.703,53.005,39.803,1.458,39.658
Summer,2,4. Industrial,Large low-rise buildings,21.993,52.976,39.864,2.625,40.117
Summer,3,6. Wet grass,Irrigated grass,24.845,47.987,36.8,1.507,37.036
Summer,4,2. Forest,Forest,24.852,48.747,35.364,2.215,35.489
Summer,5,7. Summer dry grass,Summer dry grass,28.696,49.045,40.116,1.58,39.877
Summer,6,5. Bare soil,Bare soil,25.341,48.663,40.457,1.961,40.587
Summer,10,8. Winter dry grass,Winter dry grass,27.951,50.274,39.457,2.777,39.666
Winter,0,1. Water,Water,8.993,18.495,11.129,0.453,10.994
Winter,1,3. Residential,Residential,7.246,28.071,15.907,1.029,15.863
Winter,2,4. Industrial,Large low-rise buildings,1.593,27.912,16.067,1.892,16.119
Winter,3,6. Wet grass,Irrigated grass,7.535,21.235,14.37,0.954,14.41
Winter,4,2. Forest,Forest,6.673,23.346,13.364,1.133,13.339
Winter,5,7. Summer dry grass,Summer dry grass,7.04,22.671,15.084,0.973,15.191
Winter,6,5. Bare soil,Bare soil,6.436,23.107,14.625,1.351,14.487
Winter,10,8. Winter dry grass,Winter dry grass,9.457,20.667,15.79,0.724,15.84
